period,window,model,complete,successful_forecasts,expected_forecasts,mse_seed_std,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
last12,571,CRL,True,60,60,0.0003665312353674387,0.08733096830870889,0.26864342382586753,0.1838205162995381,0.6666666666666666,0.2955181353296425
last12,571,AR3,True,12,12,0.0,0.08767047438288356,0.26927498638627606,0.184302504557,0.6666666666666666,0.29609200324035023
last12,571,LSTM,True,60,60,0.009305102989098939,0.08892054820142127,0.2681844609813009,0.18830995557637709,0.65,0.2981954865544099
last12,571,AR1,True,12,12,0.0,0.09765998629947946,0.27024512880410173,0.19561964203606322,0.75,0.3125059780219883
last12,571,Persistence,True,12,12,0.0,0.13586251906508842,0.3249825738097067,0.3136301524760801,0.08333333333333333,0.36859533239731673
post2017,120,AR1,True,104,104,0.0,0.18236271224040274,0.3262854837530095,0.726637435901182,0.7019230769230769,0.42703947386676416
post2017,120,HAR,True,104,104,0.0,0.1924691074500958,0.33334284009993276,0.8213032073645901,0.6538461538461539,0.43871301262909423
post2017,120,CRL,True,520,520,0.00010814435524273261,0.19319876208611952,0.33396479791844036,0.7987919402202827,0.6538461538461539,0.43954381133866455
post2017,120,AR3,True,104,104,0.0,0.19325820024347926,0.33394172493164087,0.8005427178198956,0.6538461538461539,0.4396114196008553
post2017,120,QR1,True,520,520,0.02170653816747434,0.2172090064361987,0.34642240931945123,0.7332678883871538,0.625,0.4660568703883666
post2017,120,Persistence,True,104,104,0.0,0.22867938521551348,0.3783055998162539,0.7189690358793352,0.038461538461538464,0.47820433416638275
post2017,120,HARX,True,104,104,0.0,0.23192608837910816,0.3530367305835384,1.1491478986480197,0.7115384615384616,0.48158705171454536
post2017,120,LSTMX,True,520,520,0.002986813770381496,0.23452076116866394,0.36974410195443985,1.1025470147435272,0.6403846153846153,0.48427343636489495
post2017,120,QR2,True,520,520,0.006517882176494021,0.23497986241128418,0.38095019514339823,0.8508626082506895,0.6346153846153846,0.48474721495980166
post2017,120,LSTM,True,520,520,0.002666076431637644,0.24165792439944198,0.3669883710322676,1.2130113305581411,0.6596153846153846,0.49158714832615585
post2017,120,ARMAX,False,103,104,0.0,0.25192236186186684,0.3802766572172158,0.8944318203968613,0.6407766990291263,0.5019186805269025
post2017,120,CRLX,True,520,520,0.021178198848394583,0.26178823516883504,0.3942373354680066,1.119190681523902,0.6134615384615385,0.5116524554508021
post2017,571,HARX,True,104,104,0.0,0.17109950942842467,0.31429529314764615,0.6148820019919837,0.7019230769230769,0.41364176460848906
post2017,571,QR2,True,520,520,0.0024122758358961272,0.17368724716664544,0.31954705857772403,0.597621187208007,0.6692307692307692,0.41675801991880784
post2017,571,AR1,True,104,104,0.0,0.17571902249009774,0.3251373510515459,0.591651827302131,0.6826923076923077,0.41918852857646016
post2017,571,CRLX,True,520,520,0.0024493663487534924,0.17712184167873712,0.32496086853511896,0.6201761265471932,0.6692307692307692,0.42085845801021643
post2017,571,QR1,True,520,520,0.0028033518033656565,0.18021239990898327,0.3199693479600229,0.6130813515466547,0.6942307692307692,0.42451431060564176
post2017,571,LSTMX,True,520,520,0.0015650524140416043,0.18686931946208207,0.3266771726593713,0.667137436421946,0.6519230769230769,0.43228384131503467
post2017,571,HAR,True,104,104,0.0,0.18713138386470263,0.32946235523829404,0.7265807013741229,0.6442307692307693,0.4325868512388034
post2017,571,AR3,True,104,104,0.0,0.18782251014206613,0.33007761535903934,0.7053732299150597,0.6634615384615384,0.43338494452630233
post2017,571,CRL,True,520,520,7.640285773313776e-05,0.18785757152228047,0.32991064823792193,0.7064570337105759,0.6730769230769231,0.43342539325964796
post2017,571,ARMAX,False,103,104,0.0,0.1974932836068534,0.33329625007530755,0.6837329100574078,0.7087378640776699,0.44440216426886736
post2017,571,LSTM,True,520,520,0.003462348655963284,0.20259482181531605,0.34258697306298713,0.8218370498565807,0.6346153846153846,0.4501053452418845
post2017,571,Persistence,True,104,104,0.0,0.22867938521551348,0.3783055998162539,0.7189690358793352,0.038461538461538464,0.47820433416638275
